,DOTUSDT,CELOUSDT,Spread,Z-Score
181,7.223,0.858,-0.027099999999999014,-0.9085042555445583
182,7.251,0.869,-0.09204999999999863,-2.464625985350732
183,7.249,0.861,-0.02644999999999964,-0.682335255376774
184,7.216,0.855,-0.008749999999999147,-0.15117018709685487
185,7.183,0.851,-0.007949999999999235,-0.12695190182099234
186,7.181,0.849,0.006950000000000678,0.2771955941922327
187,7.194,0.85,0.011500000000000732,0.4372570517622559
188,7.175,0.849,0.0009500000000004505,0.06245581232347172
189,7.175,0.845,0.034750000000000725,1.0382459607550287
190,7.159,0.843,0.035650000000000404,1.068560631791438
191,7.199,0.85,0.016500000000000625,0.4655233157108907
192,7.202,0.853,-0.005849999999999689,-0.2046614615867279
193,7.224,0.854,0.007700000000000706,0.21318637002855226
194,7.175,0.851,-0.015949999999999243,-0.4762045907997215
195,7.139,0.848,-0.02659999999999929,-0.7671119965888142
196,7.045,0.831,0.02305000000000046,0.6479119214871769
197,6.973,0.825,0.0017500000000012506,0.02743332841325639
198,7.045,0.83,0.031500000000001194,1.0482917249382402
199,7.015,0.827,0.026850000000000485,0.9200042314796757
